id,submission_time,vote_number,question_id,message,image
1,1493398154,4,1,You need to use brackets: my_list = [],
2,1493088154,35,1,Look it up in the Python docs,
3,15844795,0,1,,5dayplanlogo.jpg
4,15844795,0,1,kaki,
5,1584559290,7,4,Well me neither,
6,1584643830,0,4,,80072045_1737878763020734_5140907275845632000_n.jpg
7,1584643841,0,4,,79188853_1230955800625388_7888653427125780480_o.jpg
9,1584645912,0,5,asfsdgsdg,
10,1584645924,0,5,,baron.jpg
11,1584646341,0,8,,baron.jpg
12,1584662804,0,7,lésdfsdf,
13,1584663494,0,6,,79188853_1230955800625388_7888653427125780480_o.jpg
14,1584667585,0,3,werwer,
15,1584669211,0,2,lalalla,
16,1584692943,0,3,what?,
17,1584693214,0,1,answer it,
18,1584697949,0,1,barmnit,
19,1584702651,0,7,sanic,profile.jpg
